Blog	four	second	here	reported	k	music	until	example	want	travel	feature	how	wrong	series	re	wasn	service	needed	listen	project	person	saying	release	result	best	asked	much	life	worked	things	had	easy	has	possible	right	old	people	support	happy	inside	ddos	time	team	sign	current	understanding	along	love	working	following	so	course	didn	internet	million	quite	massive	one	vote	open	city	future	turned	say	note	take	knew	ways	going	where	many	photos	former	technology	being	around	traffic	world	power	side	image	her	october	am	an	original	tv	th	case	large	small	past	hours	social	via	single	company	learn	sense	its	always	found	really	major	obama	self	also	play	sometimes	set	see	movie	available	last	whole	community	recent	amp	readers	couple	d	continue	be	anything	clinton	into	link	line	posted	up	us	ago	came	having	try	video	let	great	makes	tools	next	process	high	move	presidential	doing	could	put	start	system	haven	face	fact	bring	should	hope	means	stuff	email	co	ve	off	less	web	five	become	does	problem	chance	worth	told	total	work	after	order	then	them	they	network	created	another	do	away	com	information	voice	hand	photo	thanks	board	night	security	comments	post	months	way	true	update	together	change	live	car	write	product	remember	still	non	half	now	domain	year	space	looking	shows	care	directly	friend	than	online	america	only	between	article	comes	learning	these	media	real	read	early	using	business	your	aren	lot	building	since	month	very	learned	family	ask	takes	site	history	tried	help	soon	actually	event	reason	american	clear	pretty	during	x	close	won	probably	both	else	lives	look	while	used	friends	user	game	some	run	step	seeing	within	himself	similar	doesn	e	go	facebook	click	win	started	control	including	him	special	completely	keep	powerful	such	data	attack	final	need	able	anyway	based	years	she	computer	state	key	group	well	lost	page	twitter	home	he	stories	piece	skills	companies	across	likely	even	tips	ever	never	campaign	tell	room	give	amazing	answer	president	before	personal	better	weeks	went	mean	content	reader	isn	features	matter	seen	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	left	just	human	yes	yet	save	deal	popular	down	drive	finally	me	did	useful	visit	making	may	man	maybe	talk	nbsp	interesting	policy	morning	earlier	thing	think	first	long	little	anyone	hillary	were	especially	show	sites	enough	black	get	behind	reading	according	mark	those	different	pay	same	running	money	either	trying	images	videos	youtube	again	important	u	starting	issues	public	search	published	two	particular	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	common	simple	simply	create	understand	itself	spent	source	big	bit	google	often	back	giving	access	others	private	links	account	bunch	ll	instead	day	announced	text	taking	value	almost	thought	add	works	actual	buy	minutes	under	every	enjoy	changes	york	would	phone	my	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	talking	though	watch	report	full	news	conference	been	quickly	experience	several	gave	which	donald	election	everything	hear	no	focus	cool	level	posts	says	goes	today	trump	figure	huge	happened	name	turn	place	any	ideas	sure	later	written	outside	come	myself	someone	check	week	without	when	seems	blog	or	there	longer	wife	all	program	woman	far	list	design	version	known	short	might	wouldn	number	friday	feel	story	store	kind	nothing	part	his	hit	wrote	art	recently	creating	attention	c	reasons	due	know	questions	customers	question	fast	called	nice	users	problems	once	apple	app	use	few	women	something	looks	related	our	out	latest	conversation	their	who	why	please	debate	thousands	ones	words	view	will	perhaps	gets	difficult	point	other	because	getting	own	apps	made	whether	below	book
	0	0	1	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	4	1	0	1	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	2	1	3	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	2	0	0	2	0	0	0	1	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	15	0	0	1	0	0	0	0	1	0	0	6	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	2	1	6	2	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0
PaulStamatiou.com - Technology, Design and Photography	3	14	33	3	3	9	14	13	50	11	8	85	2	3	60	6	26	22	3	38	2	7	3	5	20	8	88	10	8	28	88	16	37	9	23	18	34	21	4	6	0	78	22	0	24	2	23	9	48	3	121	16	24	5	3	15	2	87	0	16	3	11	7	7	12	22	2	4	28	36	18	42	0	0	17	44	7	11	37	8	11	1	0	6	117	5	5	0	13	8	15	5	9	1	21	10	3	11	8	10	17	13	15	0	0	2	73	11	1	18	33	1	7	33	11	6	5	28	1	0	30	3	160	16	0	61	5	27	0	112	13	11	10	24	13	64	21	21	10	11	34	27	13	4	0	6	50	30	19	20	3	1	1	2	35	1	6	8	8	1	25	47	12	23	0	2	20	6	1	3	2	0	51	42	1	53	41	76	37	9	23	72	10	24	2	28	4	40	4	17	3	1	2	36	11	41	13	19	4	17	7	4	11	13	4	43	6	1	85	25	19	4	10	44	3	9	2	42	7	0	113	23	11	8	1	34	9	25	11	11	53	1	223	0	8	16	35	21	30	5	3	9	4	45	1	2	14	4	31	4	11	0	4	11	12	46	5	14	18	11	7	1	50	70	40	4	27	5	75	34	12	13	3	0	0	13	2	24	2	11	0	24	24	8	1	1	6	17	3	16	40	0	2	59	24	0	6	13	0	25	8	6	9	39	1	36	52	19	10	3	4	2	0	5	7	34	1	4	10	0	13	9	7	2	3	0	23	6	63	6	7	3	7	3	3	9	1	4	41	42	3	4	11	10	1	2	9	69	141	42	8	117	0	6	7	5	4	12	26	20	3	61	25	2	3	10	17	0	3	3	6	6	6	3	10	17	23	60	15	6	1	0	39	8	13	7	20	2	117	9	11	0	2	14	7	4	32	23	2	11	11	8	14	0	7	6	0	6	18	3	4	1	30	7	16	6	4	27	25	6	8	15	8	21	7	3	25	26	6	26	1	22	7	20	4	7	3	12	9	41	74	14	27	0	18	5	0	1	17	5	50	22	19	3	0	9	6	6	17	18	15	3	5	14	3	22	6	3	2	109	37	239	19	19	42	14	15	1	24	6	30	16	17	11	29	6	6	25	3	0	12	18	0	25	11	16	9	2	34	0	0	17	0	52	2	3	9	10	4	6	2	0	7	11	2	14	14	16	51	6	20	15	1	2	13	8	5	7	21	21	116	7	14	143	101	13	0	52	5	0	4	8	83	15	1	10	23	4	25	0	18	4	8	4	8	38	10	8	9	3	7	8	3	9	2	5	19	13	5	3	12	13	5	20	3	3	3	49	99	55	0	47	2	3	53	79	4	5	36	2	21	6	0	1	2	1	7	119	2	6	0	18	52	8	30	36	10	20	2	16	2
Search Engine Roundtable	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	6	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	35	0	0	0	0	0	0	3	2	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	3	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0
Copyblogger	0	0	3	0	0	0	0	0	1	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	2	0	0	3	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	1	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	12	0	0	2	2	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	6	0	0	0	0	0	11	0	0	0	0	1	1	1	0	0	0	0	0	10	0	1	1	5	0	1	0	0	0	0	0	2	0	0	0	1	1	2	0	0	1	0	0	2	0	0	0	0	1	0	1	13	1	2	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	2	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	2	2	0	1	1	0	0	0	1	0	2	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	2	0	0	1	3	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	3	3	2	0	0	0	0	1	0	4	0	0	0	0	2	0	0	0	0	0	0	0	6
Joi Ito's Web	0	1	3	0	0	0	0	3	3	0	0	21	1	1	2	2	1	0	0	4	2	0	0	1	0	3	7	2	1	12	10	0	10	5	6	0	24	3	2	1	0	2	2	0	0	2	0	0	7	0	13	0	3	15	0	3	0	10	0	5	0	7	1	3	0	3	0	8	1	12	18	0	0	3	5	3	0	5	2	2	1	7	0	0	16	1	0	0	3	0	2	1	0	5	2	1	2	3	3	4	0	0	3	0	0	5	15	1	0	3	5	0	1	3	0	3	3	0	0	0	2	2	46	0	0	5	0	0	10	14	13	1	0	3	3	10	2	4	1	2	1	5	0	0	0	1	20	1	1	8	1	1	1	0	7	0	0	1	1	2	5	0	1	1	0	1	2	6	3	0	0	1	23	5	1	4	6	14	3	0	2	12	1	2	0	0	3	2	0	1	0	1	0	13	0	11	1	1	1	4	12	3	1	1	0	5	5	0	7	3	1	1	1	1	1	1	2	7	1	0	2	1	1	1	10	9	9	2	0	3	3	1	0	1	3	5	1	0	11	1	0	1	0	0	3	2	8	1	3	0	0	0	2	0	2	1	0	1	2	3	0	1	3	2	6	1	0	2	24	3	1	0	0	0	2	0	0	1	10	0	0	3	1	4	8	0	2	1	2	5	8	0	0	10	4	0	1	2	6	2	0	1	2	12	0	0	1	1	11	1	0	0	1	1	4	3	0	0	1	0	0	0	2	1	1	3	1	0	2	0	0	1	1	1	3	0	0	2	6	5	1	3	3	1	0	0	2	1	9	10	0	9	10	0	0	1	3	0	1	1	0	8	3	0	1	6	6	0	3	4	0	7	0	0	0	1	5	8	2	0	2	0	7	0	0	0	3	0	9	0	1	0	1	4	3	1	1	0	6	3	6	0	0	9	0	10	0	1	2	16	0	2	3	3	0	0	0	5	9	2	1	0	10	2	1	6	3	9	1	2	0	1	0	8	3	1	0	1	0	4	2	2	1	1	0	1	0	0	0	2	1	6	2	0	0	2	3	1	6	1	2	0	3	0	0	0	0	0	1	24	0	14	0	6	9	0	0	4	2	0	0	2	3	1	1	2	0	0	0	0	0	0	0	11	1	0	2	0	9	0	0	1	1	2	3	0	1	5	0	1	1	0	4	2	0	1	0	1	5	4	2	2	3	0	3	0	0	0	1	4	5	2	7	33	27	2	0	3	1	0	1	0	4	5	0	0	9	1	0	0	4	1	0	0	1	2	4	0	3	0	7	2	0	0	0	0	8	3	0	1	0	0	0	1	1	0	0	1	4	3	1	4	3	2	9	16	0	15	12	9	2	0	0	0	0	1	0	25	0	0	2	1	18	6	4	1	3	3	11	0	2
Engadget RSS Feed	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	2	0	0	0	0	0	2	1	0	0	1	0	0	1	0	0	4	0	1	1	0	0	0	0	2	4	1	0	0	0	0	0	1	0	3	1	1	6	0	0	2	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	0	0	4	0	0	7	1	1	0	0	1	0	2	2	1	0	0	0	0	2	0	0	1	4	1	0	4	0	8	0	1	6	1	0	0	5	1	1	1	0	0	2	1	2	0	0	2	1	1	0	1	0	3	1	1	2	0	1	0	0	1	0	0	0	2	0	4	0	1	2	0	0	0	0	0	0	1	0	2	5	0	1	1	4	2	1	0	0	0	0	0	0	0	1	2	0	0	3	1	0	0	0	0	2	0	0	2	0	0	0	1	2	0	0	2	3	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	2	0	0	1	0	3	0	4	0	1	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	3	0	3	0	0	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	2	0	2	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	1	1	3	2	0	4	0	0	0	0	1	1	1	0	2	2	0	0	0	1	0	0	0	0	0	0	1	5	0	0	0	5	3	0	0	1	3	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	1	0	2	0	0	0	0	0	0	1	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	5	0	2	0	3	1	0	0	1	0	2	1	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	4	1	3	0	1	0	3	0	0	0	1	0	1	1	1	1	1	0	0	0	3	0	0	0	0	1	0	0	1	2	3	1	0	0	0	1	0	0	0	2	0	0	5	2	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	4	0	1	2	0	1	1	0	0	2	0	0	0	1	0	1	0	1	1	0	1	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0	3	2	0	2	2	2	0	0	0	0	0	1	4	0	0	0	0	0	1	0	2	0	0	0	0	0
ThinkProgress - Medium	3	3	2	2	0	0	3	4	5	6	0	15	4	0	9	1	0	2	3	1	0	7	4	2	1	1	9	7	1	5	11	2	43	0	5	5	27	8	0	0	0	8	0	2	3	3	2	0	2	0	16	2	2	0	1	1	2	24	2	2	5	0	0	7	0	6	0	2	8	16	10	1	4	1	9	7	0	5	4	6	8	26	0	2	38	1	2	2	8	3	0	3	1	2	0	1	0	1	2	13	4	4	2	5	16	2	15	0	2	0	8	2	0	4	0	10	0	3	0	1	18	0	38	3	5	7	2	0	2	8	6	2	5	1	2	3	1	0	4	1	1	5	2	3	8	2	10	3	1	1	2	1	0	5	8	2	1	0	1	3	6	6	1	0	1	0	3	5	0	1	6	1	5	15	3	8	9	21	0	0	3	28	1	10	3	0	0	8	1	0	2	2	5	10	1	19	1	2	5	13	8	1	0	0	1	12	0	2	10	0	8	1	0	0	10	1	0	15	0	1	11	8	1	3	0	6	20	2	2	7	4	3	8	4	4	0	2	7	7	1	3	2	1	6	2	2	0	0	4	1	4	4	2	4	17	10	1	2	2	9	2	0	3	7	4	0	0	0	17	5	0	1	2	2	1	5	9	6	22	0	2	3	2	6	6	0	1	2	3	6	6	8	2	2	2	3	4	7	21	0	7	0	1	4	1	3	0	6	35	3	0	0	0	1	1	15	0	3	3	16	0	3	1	0	3	10	5	1	1	5	4	1	1	3	1	0	0	3	5	7	1	1	1	29	11	1	0	0	20	5	8	13	2	0	3	2	4	1	6	0	0	8	11	0	3	3	5	1	1	4	0	1	9	0	2	5	5	6	3	6	0	7	4	2	2	0	4	4	10	2	1	7	1	6	4	0	6	4	3	3	9	7	0	0	2	5	5	0	3	11	0	12	12	3	2	0	2	8	2	5	14	3	2	3	1	0	0	11	3	6	2	2	1	0	3	1	1	10	2	0	0	5	8	0	5	1	2	0	1	0	4	2	1	2	1	1	2	5	1	0	0	2	3	0	5	3	2	3	3	24	0	16	5	4	4	0	2	3	1	0	5	1	4	0	3	2	4	6	0	1	0	4	6	18	0	3	1	1	21	5	6	3	1	10	0	0	3	2	9	2	2	55	1	0	1	1	1	3	7	2	0	1	0	2	6	0	0	0	6	3	20	2	1	33	26	1	2	18	3	7	2	1	0	2	2	0	3	3	2	6	0	20	0	4	4	5	32	1	4	2	0	0	1	10	5	2	1	1	0	2	0	3	0	1	3	0	0	0	2	2	9	3	0	1	20	18	0	12	18	34	5	0	8	1	1	1	3	15	0	0	1	6	15	11	2	9	0	4	6	0	10
A Consuming Experience (full feed)	0	0	14	0	0	0	1	4	12	0	0	12	2	0	10	2	1	2	0	1	0	3	0	0	4	1	1	0	6	3	14	2	8	4	12	5	8	1	0	3	0	13	0	0	3	0	0	1	6	2	26	0	4	3	0	0	0	14	0	45	0	1	0	2	7	3	1	2	2	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	2	0	6	0	0	1	2	0	2	2	0	0	0	8	5	10	3	0	0	0	10	0	1	5	21	0	2	0	0	0	3	2	0	1	7	3	28	4	0	1	0	3	0	20	0	0	2	4	13	1	1	0	0	5	7	2	0	3	0	1	7	0	10	5	2	0	0	0	11	1	1	1	0	1	19	1	0	1	0	0	1	10	0	3	0	0	12	12	1	38	7	6	2	4	2	16	0	2	0	0	0	0	1	0	0	1	0	11	0	14	0	0	0	6	28	0	0	0	1	3	0	0	12	0	0	4	0	1	1	0	1	6	2	0	17	1	0	0	0	0	0	1	2	0	18	0	63	0	3	0	3	0	2	0	0	0	3	3	0	8	1	1	0	0	2	0	3	1	0	3	7	2	2	10	3	0	4	2	5	0	1	0	14	4	5	0	3	0	1	7	4	15	0	21	0	2	0	1	0	0	3	9	0	0	3	0	0	7	0	1	2	1	0	10	0	6	0	5	0	2	0	0	0	0	0	0	0	3	1	11	4	0	0	0	0	0	0	0	0	0	13	1	2	0	0	0	0	2	3	2	0	0	17	1	4	0	0	0	2	0	0	1	56	19	10	34	0	5	3	9	0	0	9	6	1	10	3	0	1	0	13	0	0	0	29	0	0	0	3	2	1	9	3	0	0	0	7	1	3	0	1	0	17	0	0	0	0	5	3	0	15	5	0	1	6	0	0	0	13	0	0	3	5	0	4	1	4	2	0	0	0	1	2	0	0	4	0	1	4	0	0	7	2	9	0	0	0	2	0	1	0	2	1	13	4	0	8	1	0	1	0	0	3	0	11	2	1	0	2	2	5	1	0	17	4	0	0	4	1	5	0	2	0	5	0	22	1	1	9	0	2	0	4	5	1	1	7	9	3	1	0	4	0	1	4	1	0	5	1	0	0	1	14	0	0	3	0	11	0	0	2	20	1	0	0	0	0	0	1	13	0	1	2	0	13	3	1	0	0	1	0	5	0	5	17	5	15	41	23	3	0	14	0	0	0	3	0	13	1	0	1	2	4	0	1	0	3	1	2	0	0	2	0	0	2	1	0	4	0	0	3	0	0	0	1	4	0	0	8	4	0	0	22	1	0	6	4	0	0	5	0	0	3	2	2	5	0	0	1	0	9	15	0	1	0	3	15	13	1	3	0	4	0	5	0
ProBlogger	26	15	56	1	0	0	3	16	164	4	1	184	2	8	169	13	3	5	13	0	32	12	0	11	24	18	46	17	28	156	65	13	37	4	29	4	184	0	4	3	0	186	2	13	1	3	3	38	13	4	112	19	45	7	0	48	0	189	0	10	1	4	3	59	2	64	13	24	161	70	64	12	0	1	24	38	99	7	3	15	3	10	1	17	133	1	0	0	6	0	24	1	11	40	1	12	0	33	2	4	14	20	204	3	2	3	86	2	48	23	65	1	1	50	15	16	0	0	75	42	24	4	266	9	0	96	48	7	2	96	52	15	40	13	27	15	20	42	19	7	32	8	7	9	0	56	75	54	38	2	7	1	10	8	38	16	11	8	66	0	146	18	5	5	28	8	11	6	2	9	9	2	70	12	3	71	157	252	11	5	47	218	10	15	6	10	2	1	13	15	2	0	10	169	12	83	6	2	16	24	15	0	43	18	11	17	3	16	43	2	43	3	24	7	3	9	3	36	15	1	38	4	45	10	13	67	27	5	25	17	31	21	467	5	127	30	8	14	54	13	1	14	13	58	0	3	35	1	75	34	14	0	7	11	4	0	6	8	41	9	23	4	37	11	16	3	1	0	186	5	27	2	11	1	8	25	2	62	31	21	0	56	1	2	13	1	7	25	14	6	0	0	1	47	18	5	9	58	13	0	4	11	18	147	0	12	10	1	49	2	34	4	1	20	4	58	31	22	23	0	26	2	40	12	10	0	29	4	22	10	7	10	94	15	5	7	6	12	111	125	6	0	11	62	0	30	66	3	151	68	0	141	4	5	8	1	1	4	21	16	0	177	56	34	4	16	22	0	35	35	5	12	9	2	0	69	175	115	16	101	6	0	53	3	25	5	15	1	174	3	26	0	3	140	72	12	23	5	27	7	40	5	1	4	50	44	0	20	0	0	39	7	55	25	48	6	13	52	52	15	1	10	22	34	7	6	26	57	3	42	5	20	20	34	5	5	10	11	34	110	29	17	40	2	3	22	2	33	2	0	47	1	67	0	4	27	9	16	17	16	9	2	14	21	0	46	13	3	0	84	0	262	23	17	74	26	15	8	58	14	14	29	13	12	28	10	21	5	4	8	54	9	3	44	3	3	1	6	44	4	4	12	28	37	8	6	6	30	13	3	86	5	3	2	7	9	9	6	17	10	12	10	19	1	30	17	36	8	52	12	78	3	201	212	207	7	3	108	4	0	4	25	4	3	7	8	58	3	51	1	26	30	2	33	2	15	6	6	16	0	5	30	22	0	12	0	75	10	3	27	6	9	0	0	0	17	0	2	59	79	0	126	0	10	83	131	0	12	76	70	31	7	1	7	11	38	21	94	11	10	4	20	114	116	24	33	3	7	27	10	14
Steve Pavlina	0	0	3	0	0	0	0	0	4	0	0	5	0	0	1	1	0	2	0	0	0	0	0	0	4	1	0	7	0	0	2	0	7	0	1	0	33	0	1	0	0	4	0	5	0	0	1	3	0	0	5	1	0	0	1	0	0	5	0	0	0	0	1	0	0	1	0	2	1	0	5	0	0	0	0	0	1	4	0	0	0	0	4	0	8	0	0	4	4	0	0	6	6	1	0	0	0	1	0	1	0	0	3	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	2	0	1	0	2	0	0	2	0	0	0	6	0	1	0	1	0	2	2	0	0	0	3	0	1	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	7	0	2	0	0	1	0	0	0	2	1	0	0	1	2	0	0	1	1	3	5	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	5	0	0	0	0	0	4	5	1	0	3	1	0	0	0	0	0	1	0	8	0	21	2	0	0	1	0	0	2	0	0	0	1	2	0	0	0	1	3	0	1	0	0	1	1	1	0	0	2	1	0	0	1	2	0	0	0	0	4	3	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	3	0	1	2	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	20	2	0	1	0	0	0	1	0	0	0	5	4	0	0	0	0	0	20	0	0	6	2	3	6	0	0	0	1	0	2	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	20	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	1	2	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	3	2	0	0	0	0	1	0	0	3	0	0	4	0	1	0	1	0	0	0	1	0	0	0	1	0	3	1	0	0	0	0	0	2	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	16	0	6	0	0	0	1	0	1	0	0	0	0	0	7	0	5	2	0	3	0	0	0	0	2	0	0	0	0	0	0	5	0	4	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	3	0	2	0	0	6	2	1	0	7	1	0	1	0	3	2	0	1	0	1	1	0	3	0	0	0	0	0	5	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	0	3	0	0	0	0	2	2	0	1	0	5	1	1	0	0	0	0	0	2	0	0	0	0	1	1	3	0	0	1	1	0	0
